Date	Time	Open	High	Low	Close	Volume
1993-01-01	0:00	10.29	252	-406.32	-69.55	0
1993-01-04	0:00	-18.84	301.32	-273.62	-39.18	0
1993-01-05	0:00	10.67	382.24	-272.45	9.27	0
1993-01-06	0:00	-27.33	375.34	-450.01	-113.54	0
1993-01-07	0:00	21.71	283.21	-574.37	-133.68	0
1993-01-08	0:00	-17.2	428.6	-549.45	-2.24	0
1993-01-11	0:00	-10.9	347.95	-353.21	21.28	0
1993-01-12	0:00	8.48	298.07	-380.63	-46.33	0
1993-01-13	0:00	1.79	343.95	-258.62	22.44	0
1993-01-14	0:00	7.22	422.21	-495.8	25.39	0
1993-01-15	0:00	-2.71	223.53	-432.78	-130.77	0
1993-01-18	0:00	10.89	769.49	-323.76	130.55	0
1993-01-19	0:00	13.16	72.65	-335.12	-49.47	0
1993-01-20	0:00	-18.49	368.99	-628.82	-57.3	0
1993-01-21	0:00	11.11	248.63	-366.99	-59.09	0
1993-01-22	0:00	25.94	497.94	-184.82	138.97	0
1993-01-25	0:00	-2.25	129.76	-305.24	-28.54	0
1993-01-26	0:00	16.29	386.54	-425.52	5.48	0
1993-01-27	0:00	-13.7	477.19	-145.86	21.72	0
1993-01-28	0:00	28.62	440.09	-383.62	34.12	0
1993-01-29	0:00	-0.81	426.86	-257.66	44.52	0
1993-02-01	0:00	18.65	304	-183.97	51.98	0
1993-02-02	0:00	-31.67	413.72	-400.03	33.23	0
1993-02-03	0:00	10.96	691.35	-276.91	88.96	0
1993-02-04	0:00	-2.97	243.81	-435.5	-0.36	0
1993-02-05	0:00	21.15	560.97	-333.48	57.83	0
1993-02-08	0:00	-3.84	497.3	-440.15	84.38	0
1993-02-09	0:00	-3.6	324.7	-349.84	-50.38	0
1993-02-10	0:00	17.24	406.9	-209.35	30.57	0
1993-02-11	0:00	26.71	490.11	-69.37	139.42	0
1993-02-12	0:00	6.99	120.63	-546.13	-198.03	0
1993-02-15	0:00	3.86	317.62	-513.25	-32.82	0
1993-02-16	0:00	-2.69	502.93	-400.9	7.5	0
1993-02-17	0:00	-41.57	320.25	-462.53	-82.71	0
1993-02-18	0:00	13.75	430.61	-312.89	25.18	0
1993-02-19	0:00	19.67	342.25	-300.35	45.82	0
1993-02-22	0:00	-4.24	382.12	-209.93	3.76	0
1993-02-23	0:00	-4.03	279.35	-478.95	-109.69	0
1993-02-24	0:00	-34.72	220.14	-418.54	-108.73	0
1993-02-25	0:00	-31.25	452.17	-456	-39.51	0
1993-02-26	0:00	-15.9	448.3	-289	26.31	0
1993-03-01	0:00	11.87	468.17	-367.39	106.76	0
1993-03-02	0:00	5.8	299.83	-159.52	4.7	0
1993-03-03	0:00	-25.33	400.15	-373.08	1.48	0
1993-03-04	0:00	-5.52	216.39	-434.92	-82.53	0
1993-03-05	0:00	-13.52	509.96	-283.82	20.28	0
1993-03-08	0:00	14.95	489.57	-82.22	97.25	0
1993-03-09	0:00	6.81	331.72	-346.18	-81.2	0
1993-03-10	0:00	15.62	328.68	-281.62	68.76	0
1993-03-11	0:00	13.61	311.82	-377.54	1.72	0
1993-03-12	0:00	-16.92	182.8	-109.37	-32.74	0
1993-03-15	0:00	-35.16	565.27	-272.51	122.86	0
1993-03-16	0:00	-6.49	346.61	-556.2	-39.99	0
1993-03-17	0:00	-6.25	412.12	-408.17	-7.69	0
1993-03-18	0:00	-2.35	474.06	-472.63	0.52	0
1993-03-19	0:00	-15.18	389.59	-274.18	50.13	0
1993-03-22	0:00	0.88	199.43	-88.05	10.76	0
1993-03-23	0:00	3.45	307.32	-539.12	-191.07	0
1993-03-24	0:00	18.19	295.7	-488.21	-1.42	0
1993-03-25	0:00	33.55	302.3	-409.23	-89.22	0
1993-03-26	0:00	24.85	306.75	-364.61	-51.07	0
1993-03-29	0:00	5.85	259.24	-170.69	9.93	0
1993-03-30	0:00	-5.55	577.44	-218.56	79.69	0
1993-03-31	0:00	-10.21	543.1	-380.59	96.77	0
1993-04-01	0:00	-5.21	433.48	-323.17	59.55	0
1993-04-02	0:00	6.58	533.89	-347.91	88.47	0
1993-04-05	0:00	-3.26	545.48	-435.13	16.87	0
1993-04-06	0:00	14.5	240.58	-265.15	-95.35	0
1993-04-07	0:00	2.38	358.21	-83.25	14.75	0
1993-04-08	0:00	-10.69	87.38	-274.52	-60.21	0
1993-04-09	0:00	8.2	487.75	-365.53	53.42	0
1993-04-12	0:00	27.97	534.42	-233.99	102	0
