Date,Time,Open,High,Low,Close,Volume
2000-01-03,00:00,68.08,430.63,-431.07,72.53,0
2000-01-04,00:00,-7.81,398.99,-205.4,60.54,0
2000-01-05,00:00,8.84,472.84,-167.27,101.72,0
2000-01-06,00:00,-58.58,371.18,-408.46,-27.47,0
2000-01-07,00:00,-130.85,332.4,-685.66,-162.65,0
2000-01-10,00:00,46.57,425.21,-210.7,126.2,0
2000-01-11,00:00,56.23,521.3,-336.66,79.42,0
2000-01-12,00:00,27.3,142.4,-514.99,-106.82,0
2000-01-13,00:00,29.64,467.78,-468.46,-12.04,0
2000-01-14,00:00,28.44,195.23,-147.03,-75.17,0
2000-01-17,00:00,52.41,560.91,-125.89,203.03,0
2000-01-18,00:00,115.92,341.29,-250.12,94.81,0
2000-01-19,00:00,-149.28,194.78,-551.27,-132.25,0
2000-01-20,00:00,42.34,486.03,-206.81,224.63,0
2000-01-21,00:00,-102.21,321.67,-357.46,-118.82,0
2000-01-24,00:00,-72.46,226.37,-513.0,-119.56,0
2000-01-25,00:00,177.86,377.99,-82.17,136.41,0
2000-01-26,00:00,-4.49,571.86,-547.95,93.05,0
2000-01-27,00:00,12.73,635.56,-270.21,174.42,0
2000-01-28,00:00,31.34,485.74,-265.3,80.0,0
2000-01-31,00:00,1.61,502.62,-207.95,170.74,0
2000-02-01,00:00,-49.44,450.93,-525.8,-29.44,0
2000-02-02,00:00,-86.35,386.62,-317.96,69.27,0
2000-02-03,00:00,-7.84,469.38,-525.83,21.92,0
2000-02-04,00:00,24.74,347.21,-298.6,40.47,0
2000-02-07,00:00,-26.27,403.31,-437.32,3.12,0
2000-02-08,00:00,-91.84,222.48,-212.1,15.65,0
2000-02-09,00:00,-62.48,506.56,-216.34,72.43,0
2000-02-10,00:00,48.47,545.62,-288.63,126.3,0
2000-02-11,00:00,-247.36,142.7,-617.94,-304.94,0
2000-02-14,00:00,-85.74,241.58,-510.57,-103.7,0
2000-02-15,00:00,10.54,381.05,-398.36,-2.39,0
2000-02-16,00:00,78.83,337.37,-300.19,33.94,0
2000-02-17,00:00,-69.76,324.26,-375.39,-81.54,0
2000-02-18,00:00,29.62,516.44,-273.13,142.24,0
2000-02-21,00:00,-31.92,454.17,-433.2,37.5,0
2000-02-22,00:00,12.95,359.78,-339.18,-43.13,0
2000-02-23,00:00,-43.22,452.7,-473.77,-21.82,0
2000-02-24,00:00,100.09,572.87,56.61,264.28,0
2000-02-25,00:00,-22.53,602.68,-547.2,-80.28,0
2000-02-28,00:00,162.65,653.16,-275.93,198.94,0
2000-02-29,00:00,6.25,236.81,-442.0,-75.34,0
2000-03-01,00:00,83.95,415.09,-212.77,95.11,0
2000-03-02,00:00,20.47,483.32,-228.83,100.64,0
2000-03-03,00:00,40.79,381.72,-429.31,-25.5,0
2000-03-06,00:00,5.69,542.84,-494.5,83.7,0
2000-03-07,00:00,-151.15,180.8,-593.63,-185.18,0
2000-03-08,00:00,1.2,444.98,-645.12,-81.86,0
2000-03-09,00:00,-133.89,461.24,-443.54,-17.75,0
2000-03-10,00:00,-9.4,362.59,-307.09,-9.44,0
2000-03-13,00:00,-32.7,443.92,-548.68,-24.48,0
2000-03-14,00:00,-49.71,336.95,-535.77,-73.97,0
2000-03-15,00:00,20.17,238.5,-334.42,-10.72,0
2000-03-16,00:00,-54.26,456.37,-475.79,-11.28,0
2000-03-17,00:00,-35.26,345.83,-376.05,-7.29,0
2000-03-20,00:00,-51.73,377.42,-441.98,-20.74,0
2000-03-21,00:00,-57.43,396.53,-615.14,-128.62,0
2000-03-22,00:00,114.37,454.14,-154.97,184.16,0
2000-03-23,00:00,-8.88,302.64,-200.76,-5.07,0
2000-03-24,00:00,11.77,432.2,-391.28,90.6,0
2000-03-27,00:00,-201.7,155.09,-576.41,-214.01,0
2000-03-28,00:00,-66.36,318.93,-580.74,-110.65,0
2000-03-29,00:00,-18.68,436.53,-618.1,-72.74,0
2000-03-30,00:00,108.45,481.17,-75.2,190.3,0
2000-03-31,00:00,74.64,466.89,-235.35,66.93,0
2000-04-03,00:00,-69.33,322.75,-260.98,46.91,0
2000-04-04,00:00,38.69,375.88,-377.87,53.91,0
2000-04-05,00:00,90.29,431.58,-421.09,2.44,0
