Date,Time,Open,High,Low,Close,Volume
2000-01-03,00:00,310.51,869.08,34.22,342.73,0
2000-01-04,00:00,334.69,737.55,33.25,353.47,0
2000-01-05,00:00,-266.02,-107.26,-802.89,-475.07,0
2000-01-06,00:00,27.66,522.87,-741.77,-103.68,0
2000-01-07,00:00,137.46,632.78,-10.46,221.42,0
2000-01-10,00:00,-288.88,57.51,-802.7,-311.7,0
2000-01-11,00:00,70.59,570.61,-508.4,84.29,0
2000-01-12,00:00,-55.18,204.97,-510.26,-134.86,0
2000-01-13,00:00,-43.12,322.03,-221.37,162.35,0
2000-01-14,00:00,-21.94,525.48,-209.25,153.11,0
2000-01-17,00:00,231.46,579.35,-163.66,242.75,0
2000-01-18,00:00,-111.28,291.98,-346.28,-99.46,0
2000-01-19,00:00,171.04,422.48,-246.56,123.25,0
2000-01-20,00:00,6.38,245.55,-520.47,-124.55,0
2000-01-21,00:00,16.86,477.01,-394.11,13.11,0
2000-01-24,00:00,24.63,359.57,-675.7,-226.59,0
2000-01-25,00:00,215.13,768.71,-406.08,180.35,0
2000-01-26,00:00,62.38,460.89,-345.04,55.51,0
2000-01-27,00:00,49.34,300.06,-269.37,27.86,0
2000-01-28,00:00,-208.38,203.93,-608.01,-145.55,0
2000-01-31,00:00,208.63,625.16,-66.2,161.57,0
2000-02-01,00:00,-327.69,260.81,-778.18,-328.03,0
2000-02-02,00:00,-236.6,247.26,-664.72,-220.12,0
2000-02-03,00:00,245.97,585.86,-179.78,218.1,0
2000-02-04,00:00,113.66,162.35,-172.07,-32.19,0
2000-02-07,00:00,-20.38,731.9,-259.22,202.05,0
2000-02-08,00:00,-100.91,228.91,-445.79,4.59,0
2000-02-09,00:00,-88.29,389.47,-349.66,-45.51,0
2000-02-10,00:00,143.96,827.52,-183.8,254.36,0
2000-02-11,00:00,103.58,397.32,-254.6,84.73,0
2000-02-14,00:00,47.19,475.56,-458.21,-21.58,0
2000-02-15,00:00,83.18,813.61,-446.61,196.0,0
2000-02-16,00:00,154.79,530.38,-522.16,94.74,0
2000-02-17,00:00,175.18,829.22,-163.61,181.7,0
2000-02-18,00:00,-199.85,-31.07,-1047.52,-511.68,0
2000-02-21,00:00,-385.22,123.41,-916.79,-448.32,0
2000-02-22,00:00,42.7,636.51,-345.15,158.26,0
2000-02-23,00:00,43.19,454.84,-276.2,64.19,0
2000-02-24,00:00,271.3,696.04,-210.97,368.83,0
2000-02-25,00:00,-27.05,587.08,-53.36,256.11,0
2000-02-28,00:00,-50.27,433.64,-514.68,-103.64,0
2000-02-29,00:00,-105.0,286.89,-458.07,-74.22,0
2000-03-01,00:00,425.79,875.54,-61.3,310.27,0
2000-03-02,00:00,65.99,204.29,-390.04,-53.48,0
2000-03-03,00:00,104.46,585.59,-238.76,101.13,0
2000-03-06,00:00,216.85,790.16,-240.66,280.26,0
2000-03-07,00:00,-38.76,237.27,-471.38,-104.39,0
2000-03-08,00:00,281.72,1024.13,-314.05,428.3,0
2000-03-09,00:00,421.46,803.74,-72.33,444.53,0
2000-03-10,00:00,-381.21,-169.34,-869.02,-428.67,0
2000-03-13,00:00,409.4,820.94,59.95,488.92,0
2000-03-14,00:00,69.69,452.31,-172.79,82.38,0
2000-03-15,00:00,95.66,308.14,-456.7,-54.39,0
2000-03-16,00:00,226.49,581.1,-376.15,240.97,0
2000-03-17,00:00,69.48,508.52,-371.16,-19.19,0
2000-03-20,00:00,82.05,598.9,-248.73,80.42,0
2000-03-21,00:00,64.99,346.2,-412.14,-27.16,0
2000-03-22,00:00,42.82,273.1,-283.93,-6.9,0
2000-03-23,00:00,106.24,695.78,-434.55,181.61,0
2000-03-24,00:00,110.69,531.18,-255.18,107.52,0
2000-03-27,00:00,100.72,770.62,-162.68,308.42,0
2000-03-28,00:00,79.79,771.22,-153.4,212.09,0
2000-03-29,00:00,-159.54,416.69,-762.6,-84.41,0
2000-03-30,00:00,-61.23,457.51,-405.59,8.82,0
2000-03-31,00:00,224.65,474.86,-516.19,86.34,0
